id,name,popularity,duration_ms,explicit,artists,release_date,danceability,key,acousticness,instrumentalness,tempo
1uuyATSrgeVURyWHy68VxX,Just One Day,45,212120,0,['Mighty Oaks'],2014-01-01,0.602,D#,0.199,0.000365,101.934
4oFF5OJrbT4sUyO4mF9PLe,Dicht bij mij,39,254253,0,['Bart Peeters'],2014-01-01,0.566,A,0.844,0.000578,83.871
1FQyRDFRpIcUgWTEvICDy6,今生今世,30,105533,0,['Leslie Cheung'],2014-01-01,0.553,C,0.951,5.54e-05,129.471
3DhD3hWyou0QluBBTSiBC5,No Digas Nada (Déjà Vu),58,213467,0,['Cali Y El Dandee'],2014-01-01,0.493,B,0.253,0.0,176.063
0OD1Y1Ok71DsXHRUh1HaOF,心內的話,31,221572,0,['玖壹壹'],2014-01-01,0.639,G,0.137,0.0,85.043
5p5jXve0CXP3Za6xY2fylF,Crazy Stupid Love,51,225150,1,"['Cheryl', 'Tinie Tempah']",2014-01-01,0.852,B,0.00154,0.000908,120.596
6pCxwehCUsSLBwk3DcL5yy,Maja Tanz,53,179760,0,['Die Biene Maja'],2014-01-01,0.838,G,0.485,0.0,122.998
1inc0n0zjlx7gopyz8sxWx,Sembilu,44,321733,0,['Ella'],2014-01-01,0.584,A,0.538,0.00403,114.281
7m6QW6B5iT4R1x0f7wVplQ,"下個轉彎是你嗎(電視劇""一見不鍾情""片尾曲)",35,284412,0,['Rainie Yang'],2014-01-01,0.422,C#,0.774,0.0,137.56
0Ci7Ux6qni6sp4p6LZzliI,一比鴨鴨,32,106710,0,['MOMO家族'],2014-01-01,0.891,F,0.39,0.0,134.961
26w9Ok099x8Ov0Dyob7xRJ,從未到過的地方,43,233773,0,['Cyndi Wang'],2014-01-01,0.52,C,0.75,0.0,125.683
2LeLfY4Z2ZG5LqmslJBY7K,Tu Muñeca,35,219053,0,['Dulce'],2014-01-01,0.729,E,0.322,0.000127,81.379
