id,name,popularity,duration_ms,explicit,artists,release_date,danceability,key,acousticness,instrumentalness,tempo
5XfHNrdomVBNxUI0iRztic,Будильник,45,204062,0,['Egor Kreed'],2015-01-01,0.783,B,0.0933,0.0,124.034
4IVgXhwBD357hgHjxVDfzq,Fáum Borgað (feat. Blaz Roca & Joe Frazier),19,237434,0,"['Herra Hnetusmjör', 'Blaz Roca', 'Joe Frazier']",2015-01-01,0.801,G,0.00999,0.0,97.937
4ArRDOfRo90VHzWrsXi0q6,Океан,39,217500,1,['Scriptonite'],2015-01-01,0.474,A#,0.815,0.0,89.29
6ofZUiViaPyY57Mv9ZaXiV,Абсолютно всё,44,188571,0,"['Mot', 'Bianka']",2015-01-01,0.526,C#,0.0958,0.0,153.921
3FTCuGP7OhGdXzfisLEaLK,Þangað Til (feat. Joe Frazier),20,243692,0,"['Herra Hnetusmjör', 'Joe Frazier']",2015-01-01,0.768,C,0.0306,0.0,130.005
6B0XqIWl17SjUKtln7kuxF,Вниз,39,224167,1,['Scriptonite'],2015-01-01,0.515,D,0.0905,0.000721,60.577
6WE7yCg72facr7GKQD6CA6,Time Machine,59,255467,0,['Six Part Invention'],2015-01-01,0.591,C#,0.293,0.0,95.14
0JzwzRDkwZr8s1WRfNgUqA,Till I Met You,59,240065,0,['Angeline Quinto'],2015-01-01,0.452,D,0.689,2.27e-06,139.833
6mE7cjA9svHRq3k63FAvYn,Right Here,51,220160,0,['Jess Glynne'],2015-01-01,0.806,G,0.0294,1.34e-05,120.028
2MuxsihiTrMMkxsIQSj8gc,Hvítur Bolur Gullkeðja,20,220588,0,['Herra Hnetusmjör'],2015-01-01,0.802,C#,0.0118,0.0,135.965
5F5n3IuvLFyNx6f5h2jn0E,20ogeitthvað,19,233546,0,['Úlfur Úlfur'],2015-01-01,0.77,A,0.0854,0.0,149.988
0UqBQNPLy0txwTOfTGZMXS,Бумажки,41,322250,1,"['Scriptonite', 'Юрик Четверг']",2015-01-01,0.704,F#,0.14,5.67e-06,105.924
5PLbqbPQP42plJ6VBHjMRH,La La,18,193774,0,['Herra Hnetusmjör'],2015-01-01,0.548,A#,0.0573,0.0,96.972
5mrWGeEdZqgOmsrMw5exJy,Skusme To V Mieri,29,346293,0,['Majk Spirit'],2015-01-01,0.541,C#,0.652,0.0,140.027
3BMMHl6h8VkI4lW9jKSuEL,100 поцелуев,40,155729,1,['Scriptonite'],2015-01-01,0.539,C#,0.199,0.00322,119.358
1CD0XNh1byEW9NKPtpFTAC,Лёд,41,350687,0,"['Basta', 'Smoky Mo', 'Scriptonite']",2015-01-01,0.606,C#,0.545,0.0,77.498
1F1kllba7qMoii2hswILYw,Оставь это нам,40,100110,1,['Scriptonite'],2015-01-01,0.742,C#,0.0368,0.0,91.039
1ABGjM1kc8P5Vj7X6TkL40,Ťahal dedko repku,25,1218933,0,"['Mária Podhradská', 'Richard Čanaky', 'Spievankovo']",2015-01-01,0.694,D,0.521,0.0,105.096
5egyjW2qZwEtCLfS0Ci4Nl,Selfie,18,215286,0,['Herra Hnetusmjör'],2015-01-01,0.815,F#,0.127,0.0,97.958
39PnZjQ73g07oY2NaAOtxZ,Желаю,42,280398,0,['Chestnyi'],2015-01-01,0.657,E,0.097,0.0,149.954
4zDl6nT5P5tPeXxG8LRGtS,Way Down We Go,18,219289,0,['KALEO'],2015-01-01,0.505,A#,0.625,0.000287,162.621
2c2sBxXAj2VXTTFN2EWdMq,Стиль - Другая версия,39,407197,1,"['Scriptonite', 'ATL']",2015-01-01,0.549,C,0.152,2.58e-05,123.967
7AQLbnuuyPzy22MOEmeetH,暗湧,41,261813,0,['Faye Wong'],2015-01-01,0.325,A#,0.898,0.0541,181.1
0K2UkduBJxjuNYLOFhpwHB,再見只是陌生人,53,251691,0,['Ada Zhuang'],2015-01-01,0.625,F,0.0134,0.0,82.004
50MRAYaWCgWqUcefowkaOV,Rozeznávám,33,249027,0,['Richard Muller'],2015-01-01,0.249,C,0.664,2.51e-06,52.407
1AVYznIek3SoK9xSAsnAuH,放過自己,50,249041,0,['Ada Zhuang'],2015-01-01,0.598,C,0.102,0.0,120.001
7G8lsE1TP7zl4stkae3b0V,Надо ли,43,200335,0,['Egor Kreed'],2015-01-01,0.559,A,0.34,0.0,87.959
