id,name,popularity,duration_ms,explicit,artists,release_date,danceability,key,acousticness,instrumentalness,tempo
5z6C7bb9LcJpxE9b4D661s,Infinity - Spectral Emotions Remix,0,289283,0,['Thomas P. Heckmann'],2012-01-01,0.613,G,0.00166,0.0183,152.053
23KtEcRNrUWAtvxNlxuavx,As The Years Go Passing By - 2002 Digital Remaster,9,464400,0,['Gary Moore'],2012-01-01,0.427,F,0.0988,0.198,141.372
2ri0wuEhHwuGC1imOtDDhx,פרחים בקנה,22,285573,0,"['Subliminal', 'The Shadow', 'Sivan', 'Itzik Shamli', 'Gavriel Butler']",2012-01-01,0.656,G#,0.244,0.0,110.043
2uViVTNHdYYoUzlBfeqbZh,Sleepwalker - Mental Remix,0,434233,0,['Thomas P. Heckmann'],2012-01-01,0.555,D,3.61e-05,0.898,143.481
1JjSDrtYYCBi5yr6lIMppN,La Hora del Juicio,50,232072,0,['Canserbero'],2012-01-01,0.706,A#,0.146,0.000755,93.431
3q2v8QaTnHLveAQzR6gvYm,"Sing About Me, I'm Dying Of Thirst",61,723573,1,['Kendrick Lamar'],2012-01-01,0.654,B,0.303,8.08e-05,110.722
0yzhOPf0iw2qWwcXRRta5L,Rhapsody In Blue,57,890000,0,"['George Gershwin', 'Benjamin Grosvenor', 'Royal Liverpool Philharmonic Orchestra', 'James Judd']",2012-01-01,0.309,A,0.976,0.69,74.568
03YZ9NzElsztRw1pQasLDS,Brain Waves,0,204595,0,['Thomas P. Heckmann'],2012-01-01,0.697,G,0.00217,0.894,196.398
7K1ZJlEZ2Nw9BrPHLyEmvC,Divina Tú,52,263440,0,['Carlos Macías'],2012-01-01,0.391,B,0.919,1.08e-06,82.968
7E4tE303U4LTUAsvzGVfxZ,Wonderland,0,479392,0,['Thomas P. Heckmann'],2012-01-01,0.563,B,0.000324,0.853,143.556
5v5Kra9bZOVKBXpfLVK2fP,Canção De Engate - Acoustic,44,324733,0,['Tiago Bettencourt'],2012-01-01,0.289,G#,0.259,0.0351,149.855
6IBpFG2LU2udYofIuROp3w,Lost In The Light,70,236720,0,['Bahamas'],2012-01-01,0.597,D,0.793,0.0014,75.545
03d1qH5qlwuBw6trsfbjkM,The Hungry Years - Live,7,242053,0,['Neil Sedaka'],2012-01-01,0.379,C,0.913,0.000143,78.575
0BEyccSds3Qxz7bCXcKqyy,"Oh, Angeline",2,197693,0,['Shoes'],2012-01-01,0.538,C,0.498,0.000152,126.954
0Ksj1ehwR3eJl6L3bB9VZk,Losha,21,218469,0,['Andrea'],2012-01-01,0.61,F#,0.467,0.0819,94.985
74tLlkN3rgVzRqQJgPfink,Money Trees,72,386907,1,"['Kendrick Lamar', 'Jay Rock']",2012-01-01,0.716,G,0.0703,0.0,71.994
6yR4OhiJYiH9YXOgv8MO0A,Donde está el amor,52,225013,0,['Pablo Alborán'],2012-01-01,0.647,E,0.239,2.14e-06,140.001
2ztQXBIKkXroeSBD69XhOK,Trans-Form,0,429136,0,['Thomas P. Heckmann'],2012-01-01,0.693,G,0.00183,0.846,131.134
0hb9rwJj53EVIfUcruLsMV,Mujer De Las Mil Batallas,50,212653,0,['Manuel Carrasco'],2012-01-01,0.521,C,0.0603,0.0,139.78
3wyMwEpzoIWBGqEkHeEvi6,The Promise,54,224111,0,['Girls Aloud'],2012-01-01,0.575,A,0.008,0.0,90.036
1b5ZowScLd0KJpLBqY6Fon,Age,0,431547,0,['Thomas P. Heckmann'],2012-01-01,0.688,F,0.00233,0.906,131.27
442YgzY4YBcE3UXFRrczJb,Casual Sex,48,193573,0,['My Darkest Days'],2012-01-01,0.671,B,0.00912,0.0,116.04
0d0jsoba88SpOoFxCxA2rZ,The Art of Peer Pressure,58,324533,1,['Kendrick Lamar'],2012-01-01,0.555,A#,0.286,0.00106,94.939
7gQ5c5HY6zMsIck6QLY9dJ,Hurricane,72,243987,0,['Bridgit Mendler'],2012-01-01,0.757,G,0.0398,2.63e-06,95.01
6M7bXLGi2e3QKHLwZTTmEN,Twilight,55,207952,0,['Cover Drive'],2012-01-01,0.425,G,0.00821,0.00048,89.058
5UfSMQblqlnvLDlBGp2HPQ,Walkabout - 2012 Remaster,5,431752,0,['Edgar Froese'],2012-01-01,0.151,A,0.83,0.985,188.556
2qe6x1RtVj0rUib203guni,Trope III - Unreleased Mix,0,388211,0,['Thomas P. Heckmann'],2012-01-01,0.627,C,0.0336,0.808,135.921
447r2keRxpkINmWYp83MlH,Maquiavélico,69,284709,0,['Canserbero'],2012-01-01,0.554,B,0.544,0.0,92.907
6Ymvlzom4TQeoKqAWsZRD8,Somethin' 'Bout A Truck,70,213827,0,['Kip Moore'],2012-01-01,0.554,B,0.0697,0.0,176.01
3pfGTMNDUJwj4cBN6op9m6,No Hay 2 Sin 3 (Gol),47,226653,0,"['Cali Y El Dandee', 'David Bisbal']",2012-01-01,0.642,C,0.0333,0.0,126.077
50vrx3zL8St5TnrJq3CFMC,אגדת דשא - Live,23,337653,0,"['Shalom Hanoch', 'Moshe Levi']",2012-01-01,0.423,C#,0.865,3.73e-06,123.132
1zZLRpTzRTqPQ7G7uxYI9Y,Angeleyes,56,262493,0,['ABBA'],2012-01-01,0.711,B,0.497,0.000254,133.157
3l2K1gEKG6wwrguFthojTd,Desfado,38,155520,0,['Ana Moura'],2012-01-01,0.704,D,0.261,0.0,119.874
3tolNJf26RqEWwVwlbJrY3,Tequila Makes Her Clothes Fall Off,37,188587,0,['Nathan Carter'],2012-01-01,0.628,F,0.0292,0.0,95.008
4hdIORk57S3av6dKI9JRDz,Prefiero Ser Su Amante,69,208000,0,['María José'],2012-01-01,0.632,C,0.00128,1.46e-05,131.988
6rvKR6qk4pEUDR9N38Dsr2,Upland - 2012 Remaster,9,397665,0,['Edgar Froese'],2012-01-01,0.263,A,0.746,0.906,118.129
7ypaYozVuw2UumW5tw07sy,Louisiana Saturday Night,37,167288,0,['Robert Mizzell'],2012-01-01,0.536,D,0.66,0.0,175.098
0YHO4FoviUi3v4q5d81bS1,Lost In Your Love,52,229436,0,['Redlight'],2012-01-01,0.705,F#,0.0491,0.00631,133.83
5g7rJvWYVrloJZwKiShqlS,Dirty Paws,71,278373,0,['Of Monsters and Men'],2012-01-01,0.359,D#,0.107,0.0124,111.709
2ikkgfIIM9kGKZCXzXnTpj,I Don't Like,67,293840,1,"['Chief Keef', 'Lil Reese']",2012-01-01,0.742,D,0.000634,0.0,131.986
6QFCMUUq1T2Vf5sFUXcuQ7,Beauty And A Beat,69,227987,0,"['Justin Bieber', 'Nicki Minaj']",2012-01-01,0.601,C,0.000704,5.27e-05,128.002
1aS5oaBNG6wsf186ZZMCzX,Cruise,49,208960,0,['Florida Georgia Line'],2012-01-01,0.457,A#,0.0191,0.0,148.0
004XgNPueIQSJrK25rzP3D,לבן בחלום שחור,23,243533,0,['Eifo HaYeled'],2012-01-01,0.536,C,0.000891,0.0,83.462
1sboJLUsJZX1OxPiU8I346,נוסטלגיה,25,174267,0,"['Aviv Geffen', 'Sharon lifshitz']",2012-01-01,0.433,G,0.79,0.0,141.84
0Hf4aIJpsN4Os2f0y0VqWl,Feel This Moment (feat. Christina Aguilera),77,229507,0,"['Pitbull', 'Christina Aguilera']",2012-01-01,0.673,G,0.039,0.0,135.956
3a2tuvXCHbW5nuUckuHkKT,Little Talks,60,266600,0,['Of Monsters and Men'],2012-01-01,0.445,C#,0.0206,0.0,102.878
07NCn5baUk0P4b7nG3bvPq,Shirey Yaldut,22,170005,0,['Uzi Hitman'],2012-01-01,0.583,A,0.779,0.0,102.637
0hdpG0RiF2AZSUwDE5FgIx,Por los Siglos,39,147147,0,['Suite Soprano'],2012-01-01,0.54,F,0.375,0.0,107.438
0tHD2vAxW9JcojI9ehnes5,Turn Up The Love,30,196200,0,"['Far East Movement', 'Cover Drive']",2012-01-01,0.752,F#,0.131,0.0,123.853
12jv1x8TX4ctEd5ADYHATX,Carta - Acoustic,37,294747,0,['Tiago Bettencourt'],2012-01-01,0.46,C,0.564,0.0141,154.141
3z2TwgBNq1ExE69X8PUjk5,Flagrante,36,208453,0,['António Zambujo'],2012-01-01,0.724,E,0.823,0.0208,104.179
7qGzG0ylRqKqymFNXZQgaH,Moderation - Buck Rodger's Favorite Mix,0,279347,0,['Light Year'],2012-01-01,0.74,F,0.00125,0.0916,123.981
6zgtBUEkAfilJ2YEOvNexR,One Of Us,55,237720,0,['ABBA'],2012-01-01,0.646,G,0.495,0.000634,82.216
1nSPlJY53DG3avK6UfpDpZ,Jeremías 17-5,69,318328,0,['Canserbero'],2012-01-01,0.644,F,0.157,0.0,91.753
6qqdFWe7C4LsBjWbXQdsHA,Dark Paradise,68,243187,0,['Lana Del Rey'],2012-01-01,0.6,C#,0.0953,0.0,119.994
6OrNf46vJrHqNP3IFpmvhV,Lambreta,38,144240,0,['António Zambujo'],2012-01-01,0.695,A,0.849,0.0349,132.887
4yTqjWF2EoFJM5BbSCe4YW,Safe & Sound - from The Hunger Games Soundtrack,52,240067,0,"['Taylor Swift', 'The Civil Wars']",2012-01-01,0.472,G,0.883,1.04e-05,144.317
3jE7MbwYjr48YgACKJpYog,NGC 891 - 2012 Remaster,11,827636,0,['Edgar Froese'],2012-01-01,0.189,G,0.656,0.93,169.877
5Nuy5WMWF0XQ5ZQv3P8xZx,"Triana, Puente Y Aparte (Tangos De Triana)",47,285400,0,['Miguel Poveda'],2012-01-01,0.668,B,0.832,0.000115,91.517
7ENPq62yMvc3JC1zP9khsX,Ayer,48,269560,0,['La Habitación Roja'],2012-01-01,0.487,G,0.00221,0.000218,142.039
7EgXrWgq40By4CUyzSxBI5,Ali Bomaye,34,372707,1,"['The Game', '2 Chainz', 'Rick Ross']",2012-01-01,0.381,A#,0.0209,0.0,78.239
37Lu6Is9EoZ5Xq7x6kcenC,Era Of The Slaves - 2012 Remaster,8,492440,0,['Edgar Froese'],2012-01-01,0.392,F,0.428,0.903,130.83
4ZCIULjxlIOPcKRpXhqOrB,Ella No Volverá,47,210000,0,['Dr. Bellido'],2012-01-01,0.814,F#,0.0322,0.0,130.055
45ryENqiXbjH3MGDRp6y7u,Big E,0,407728,0,['Thomas P. Heckmann'],2012-01-01,0.55,F#,0.000229,4.09e-06,131.272
16mWY3sWRo7msbsZr17Apv,Trope - Acid Mix,0,386222,0,['Thomas P. Heckmann'],2012-01-01,0.634,C,0.0212,0.845,135.927
6VuUMo1TusnqBxLTnr3hOI,Brillas,76,226187,0,['León Larregui'],2012-01-01,0.625,A,0.376,0.00103,93.041
