id,name,popularity,duration_ms,explicit,artists,release_date,danceability,key,acousticness,instrumentalness,tempo
27tR3saB1q7kFlZsnjdLu7,Fantasma,49,262849,0,['Zoé'],2008-01-01,0.502,C,0.108,0.18,80.277
7khLgMuA7m4SA6aaDv1QSv,Tempted To Touch,57,207547,0,['Rupee'],2008-01-01,0.819,D,0.061,0.0,105.988
0Aus4ZKUL1HKySUwtYcmHg,The Age Of The Understatement,18,187560,0,['The Last Shadow Puppets'],2008-01-01,0.386,E,0.00152,4.54e-06,147.28
3ucH40KXUWWQ5pFw2685G8,Me Voy (feat. Romeo Santos),56,241766,0,"['Héctor Acosta ""El Torito""', 'Romeo Santos']",2008-01-01,0.885,E,0.457,0.0,131.954
5r5u2sbG9ER8grhuEsEXNP,Sahabat,40,272653,0,['Peterpan'],2008-01-01,0.408,G,0.172,0.0,80.01
5L2ELXkO17Iu9J8hwMktVJ,Helaf El Amar,38,396240,0,['George Wassouf'],2008-01-01,0.433,G,0.714,1.32e-05,120.935
3fiGxr2Bh7HwelSdQPZ4zK,Luto En El Cielo,47,163413,0,['Los Nuevos Rebeldes'],2008-01-01,0.783,G,0.528,0.0,110.503
7dfcQMlkSp40GntNwX98Z6,Tal Vez,56,279480,0,['Ricky Martin'],2008-01-01,0.509,B,0.211,0.0,115.856
5QOOXjTEboAeaWqFTvaGye,El Guero Pesado,54,210720,0,['El Tigrillo Palma'],2008-01-01,0.729,G,0.673,2.86e-06,114.368
3XkVFbbdYDwycfXKOQyVdn,Dibalik Awan,45,233173,0,['Peterpan'],2008-01-01,0.654,G#,0.19,0.0,113.031
4vZvSIDkNIppw80FqPKncm,Tentang Kamu,41,240227,0,['Bunga Citra Lestari'],2008-01-01,0.588,D,0.895,0.00357,80.009
6uq4CjBN51iCkbwrqc2xsU,America's Suitehearts,49,214133,0,['Fall Out Boy'],2008-01-01,0.483,D,0.00826,0.0,160.05
1y1SBh1TEgcEAztjMpw57h,Koh Lanta Aventuri - Le Générique Original,33,70933,0,['Koh Lanta'],2008-01-01,0.482,A#,0.000729,0.931,108.064
0uadi6qq7mp7MNrtiFVeUG,Comme Un Lego,35,544853,0,['Alain Bashung'],2008-01-01,0.609,E,0.409,0.0,125.114
4ZSXAGQqhcRnIVWMRWm58O,Party Medley - Samen Met Dré Live In Concert,34,636000,0,"['André Hazes Jr.', 'Peter Beense', 'Wolter Kroes']",2008-01-01,0.247,G,0.067,0.0,199.969
0HdjpQXDnlGCp0II1BRcau,Samba De Verao,40,186627,0,['Caetano Veloso'],2008-01-01,0.735,F,0.843,0.0468,119.764
6b8Aoe2KVflt91iyjKzLHC,Imaste Horia,29,277745,0,"['Peggy Zina', 'Nikos Vertis']",2008-01-01,0.53,G,0.119,0.0,152.064
7FZ9pYYBFVQhEWSwqmyB68,No Hace Falta,49,268747,0,['Mijares'],2008-01-01,0.407,F,0.725,0.0,140.525
1O5izvumkbEECk2ellXsPe,Gerrit,34,135027,1,['Opgezwolle'],2008-01-01,0.634,F#,0.0849,0.0,173.757
3oczNt8R97xp4n0sYwmNDO,Abot Kamay,48,156613,0,['Orange & Lemons'],2008-01-01,0.624,C,0.489,0.00027,136.088
5tJ29tKiYctCNxyufiwRmY,Ektos Troxias,24,189260,0,['Christos Dantis'],2008-01-01,0.578,C#,0.0104,0.0,75.998
4oDYvBRmEgAgsVWsk8GyqT,Todavia sigo hot,34,213319,0,['Danger Man'],2008-01-01,0.721,C#,0.0869,0.0,79.411
1VHYTWTzy54WCMQEUMSBp6,Ghareibah El Nas,45,264843,0,['Wael Jassar'],2008-01-01,0.622,D#,0.0833,2.4e-06,136.935
5VqZWb99hgO2aKmo3sWSTb,Último Tema,49,251573,0,['Enjambre'],2008-01-01,0.591,G,0.415,0.255,125.788
5hox2p2bAq5MLCBfAzmnCL,Frangosyriani,27,190000,0,['Giannis Poulopoulos'],2008-01-01,0.845,F,0.598,6.24e-05,114.109
4vyDs6A76Dvd0DWNdY554i,Vencedor,49,181320,0,['Valentín Elizalde'],2008-01-01,0.655,D#,0.538,9.97e-05,160.012
6WYacaEMFuwj3sRtQK2Qq6,Visiones,50,250201,0,['Canserbero'],2008-01-01,0.572,C,0.872,5.76e-05,177.936
6sraQKoTNK8aXWxBJEJWuE,Topeng,45,266027,0,['Peterpan'],2008-01-01,0.596,C,0.00325,2.95e-05,132.97
67L03LeXeZ73X7opELnh5P,"No Se De Ella ""My Space""",63,222680,0,['Don Omar'],2008-01-01,0.817,A,0.244,0.0122,88.011
5rdQVCeGrSxdWq7CSE7cEM,Erhetai Kryo,23,193080,0,['Arleta'],2008-01-01,0.592,D,0.722,0.585,81.578
