id,name,popularity,duration_ms,explicit,artists,release_date,danceability,key,acousticness,instrumentalness,tempo
11qPEHhP5IdSl0lRkLy6Cs,Bláu augun þin,28,185017,0,['Hljómar'],2013-01-01,0.338,D,0.76,0.0,173.447
7Kv9Lxent75sA3OaG78s93,Going Home,17,292893,0,['Ásgeir'],2013-01-01,0.592,G#,0.723,0.551,180.086
7FZTYY0QStoZeDKPaQuf6h,Kæri vinur,17,224258,0,"['Jón Jónsson', 'Björgvin Halldórsson']",2013-01-01,0.628,F,0.382,0.0,85.028
0493JEOPHEvR91vbkzkcBx,Samferða,16,245992,0,['Mannakorn'],2013-01-01,0.389,D,0.422,6.72e-06,175.77
4iQslTaYr5Z90kq7YUJmSI,Resistiré,40,250600,0,['David Bolzoni'],2013-01-01,0.447,F,0.137,0.0,184.018
2ClinwPLpa9NOmytCGeKTo,Otpusti I zabud,38,222547,0,['Anna Buturlina'],2013-01-01,0.421,F,0.81,2.34e-06,136.925
0SK9wxN40P6jlcMfTSAe0V,Glory And Gore,62,210738,0,['Lorde'],2013-01-01,0.689,C#,0.285,0.0,143.946
0ujjgOP4F3fqAX8oycq68r,Pretty Boy Floyd,16,227370,0,['KALEO'],2013-01-01,0.492,A#,0.0206,1.01e-05,126.469
46FcSuBfzsRKrVuk4kWU6N,Belle Hélène - Rapversie,40,185760,0,['The Opposites'],2013-01-01,0.579,F#,0.0204,0.651,139.958
2Hy2SeWdfoA597eoRBNWbN,Mamma þarf að djamma,31,194119,0,"['Jóhanna Guðrún', 'Baggalútur']",2013-01-01,0.742,D,0.396,0.000574,129.983
0eehHRQY2nlimtLjCI9xRf,We Come Running,57,247507,0,['Youngblood Hawke'],2013-01-01,0.55,A#,0.000323,0.00391,124.97
5C2piF5AjMt4pCh0sgpeUB,Nunca Voy A Olvidarte,52,300640,0,['Cristian Castro'],2013-01-01,0.546,D#,0.258,1.4e-05,156.121
1vSEwZtoQA0sJxkOgF7MtG,Falling,52,257813,0,['HAIM'],2013-01-01,0.743,D,0.0792,7.75e-05,111.98
7MbcAQi7NN5ZYqpBHhyEBv,Νous Ithinon,23,232307,1,"['Anser', 'Eversor']",2013-01-01,0.657,C#,0.227,0.0,93.009
4ORLwG8RZWVRyGU68EEALc,Anemodarmena Ipsi,31,241384,0,['Katy Garbi'],2013-01-01,0.559,C#,0.463,0.0,83.001
5Gbc4h1rpPQgBT3kywWkTG,小城故事,39,158360,0,['Teresa Teng'],2013-01-01,0.477,C,0.72,0.00349,80.032
5NIVxqYr8oWZnb9hJf8VtR,For Første Gang på Lenge 2,35,149827,0,"['Lisa Stokke', 'May Kristin Kaspersen']",2013-01-01,0.477,A,0.912,0.0,98.962
5a3EgPtbUrbmutCu3xlBWq,Hokksund,34,202293,0,['Broiler'],2013-01-01,0.736,G,0.116,0.0365,135.059
3tzM7quInY8UcM9bxp67yC,Samhradh Samhradh,35,356253,0,['The Gloaming'],2013-01-01,0.522,A#,0.977,0.00279,74.538
1JpM0DYtVF2YKeEJ1D6rIG,Het Is Een Nacht / Love You More - Live @ PSV Stadion Eindhoven June 2013,39,239200,0,"['Guus Meeuwis', 'Racoon']",2013-01-01,0.266,C#,0.839,0.0,77.586
2xannpLNAjth1Hfzp3Qwtq,Ástardúett,16,180094,0,"['Guðrún Gunnarsdóttir', 'Egill Ólafsson']",2013-01-01,0.666,D,0.809,0.0,82.822
6q6Y2okPnlQsgom2212dd5,Glass House,15,254491,0,['KALEO'],2013-01-01,0.404,C,0.00249,0.0104,97.957
5O3CHdJL1LsVpjv9mUTcyS,Það styttir alltaf upp,27,288867,0,['Ragnar Bjarnason'],2013-01-01,0.742,E,0.716,0.000204,92.965
3Ip9paW5KZ3xy1l1tpor63,Slapeloze Nachten,41,212224,0,['The Opposites'],2013-01-01,0.817,G#,0.393,0.000501,111.989
